"us1","us2","index","can1","can2","uk1","uk2","it1","it2","sko1","sko2","au1","au2"
50852844,153.633,123,4143459,109.783,8050171,118.584,3398239,56.205,1458526,28.448,NA,NA
51432783,155.385,124,4178195,110.704,8135242,119.837,3412010,56.432,1470320,28.678,NA,NA
52138878,157.518,125,4236521,112.249,8256935,121.629,3434500,56.804,1479436,28.856,NA,NA
53330144,161.117,126,NA,NA,8388397,123.566,3463179,57.279,1489768,29.058,NA,NA
54327914,164.131,127,4272606,113.205,8522679,125.544,3493126,57.774,1498953,29.237,NA,NA
55325960,167.147,128,4319172,114.439,8663993,127.626,3520377,58.225,1503712,29.33,NA,NA
56194196,169.77,129,4367208,115.712,8798036,129.6,3545826,58.646,1508204,29.417,NA,NA
57109685,172.535,130,4404038,116.688,8904608,131.17,3568887,59.027,1517260,29.594,NA,NA
57737949,174.433,131,4447810,117.847,8986873,132.382,3582893,59.259,1527981,29.803,NA,NA
58448876,176.581,132,4505218,119.368,9117483,134.306,3607115,59.659,1537197,29.983,NA,NA
59295538,179.139,133,4541747,120.336,9260989,136.42,3635507,60.129,1545466,30.144,NA,NA
60111852,181.605,134,4581083,121.378,9415384,138.694,3663596,60.594,1553552,30.302,NA,NA
61063970,184.482,135,4635105,122.81,9562383,140.859,3692257,61.068,1558478,30.398,NA,NA
61997977,187.304,136,4685663,124.149,9693382,142.789,3719826,61.524,1562356,30.474,NA,NA
62745452,189.562,137,4741146,125.619,9818696,144.635,3740447,61.865,1571056,30.643,NA,NA
63319348,191.296,138,4778360,126.605,9941987,146.451,3754568,62.098,1579697,30.812,NA,NA
63990113,193.322,139,4840043,128.24,10083427,148.535,3778483,62.494,1588456,30.983,NA,NA
64740552,195.589,140,4880172,129.303,10236970,150.796,3807771,62.978,1596584,31.141,NA,NA
65589426,198.154,141,4925446,130.503,10400408,153.204,3840789,63.524,1604409,31.294,NA,NA
66456784,200.774,142,4974215,131.795,10556548,155.504,3869759,64.003,1607847,31.361,NA,NA
67338137,203.437,143,5034059,133.38,10703374,157.667,3897818,64.467,1611907,31.44,NA,NA
68142080,205.866,144,5076734,134.511,10857124,159.932,3922995,64.884,1620355,31.605,NA,NA
68844078,207.986,145,5115490,135.538,10993551,161.941,3942369,65.204,1629277,31.779,NA,NA
69605668,210.287,146,5169166,136.96,11141214,164.117,3967710,65.623,1637100,31.931,NA,NA
70529547,213.078,147,5205010,137.91,11310805,166.615,3998585,66.134,1644952,32.085,NA,NA
71443194,215.839,148,5246265,139.003,11471425,168.981,4031981,66.686,1653678,32.255,NA,NA
72459889,218.91,149,5293936,140.266,11639184,171.452,4061667,67.177,1659782,32.374,NA,NA
73399617,221.749,150,NA,NA,11814098,174.028,4093572,67.705,1665506,32.486,NA,NA
74209621,224.196,151,NA,NA,11978298,176.447,4118068,68.11,1671823,32.609,NA,NA
74821819,226.046,152,NA,NA,12118924,178.519,4131535,68.333,1684042,32.847,NA,NA
75465275,227.99,153,NA,NA,12272157,180.776,4155026,68.721,1699085,33.14,NA,NA
76276147,230.44,154,NA,NA,12446595,183.346,4184765,69.213,1716078,33.472,NA,NA
77187298,233.192,155,NA,NA,NA,NA,4216934,69.745,1733373,33.809,NA,NA
78099036,235.947,156,NA,NA,NA,NA,4247326,70.248,1743622,34.009,NA,NA
78966195,238.567,157,NA,NA,NA,NA,4273957,70.689,1756427,34.259,NA,NA
79705787,240.801,158,NA,NA,NA,NA,4296730,71.065,1775475,34.63,NA,NA
80280898,242.539,159,NA,NA,NA,NA,4307634,71.246,1796711,35.045,NA,NA
80826384,244.187,160,NA,NA,NA,NA,4329697,71.61,1817538,35.451,NA,NA
81462633,246.109,161,NA,NA,NA,NA,4357027,72.062,1837006,35.831,NA,NA
