"us1","us2","index","can1","can2","uk1","uk2","it1","it2","sko1","sko2","au1","au2"
37940017,114.621,107,3387679,89.758,6147681,90.559,2987294,49.408,NA,NA,NA,NA
38668888,116.824,108,3437965,91.091,6262114,92.245,3017169,49.902,1310504,25.561,NA,NA
39180028,118.368,109,3481728,92.25,6355415,93.619,3041750,50.309,1322519,25.796,NA,NA
39603888,119.648,110,3520466,93.277,6433120,94.764,3057902,50.576,1335723,26.053,NA,NA
40473641,122.276,111,3573554,94.683,6496653,95.699,3081127,50.96,1347859,26.29,NA,NA
41301151,124.776,112,3616652,95.825,6597342,97.183,3111364,51.46,1361363,26.553,NA,NA
42194866,127.476,113,3659778,96.968,6717480,98.952,3140785,51.947,NA,NA,NA,NA
43094522,130.194,114,3697322,97.963,6849508,100.897,3169116,52.415,1380314,26.923,NA,NA
44000633,132.931,115,3717483,98.497,6977736,102.786,3198837,52.907,1386467,27.043,NA,NA
44797919,135.34,116,3761927,99.674,7101830,104.614,3220020,53.257,1396327,27.235,NA,NA
45495140,137.446,117,3863930,102.377,7188816,105.895,3235504,53.513,1408019,27.463,NA,NA
46305575,139.895,118,3899192,103.311,7262633,106.983,3263975,53.984,1417944,27.657,NA,NA
47192877,142.576,119,3946565,104.566,7375594,108.647,3293300,54.469,1427907,27.851,NA,NA
48023241,145.084,120,3996625,105.893,7508695,110.607,3322447,54.951,1437281,28.034,NA,NA
49093738,148.318,121,4050358,107.317,7658207,112.81,3348127,55.376,1443346,28.152,NA,NA
50057457,151.23,122,4098752,108.599,7815903,115.133,3377073,55.855,1448891,28.26,NA,NA
50894934,153.76,123,4143459,109.783,7947599,117.073,3398239,56.205,1458526,28.448,NA,NA
51477496,155.52,124,4178195,110.704,8050171,118.584,3412010,56.432,1470320,28.678,NA,NA
52189670,157.671,125,4236521,112.249,8135242,119.837,3434500,56.804,1479436,28.856,NA,NA
53383756,161.279,126,NA,NA,8256935,121.629,3463179,57.279,1489768,29.058,NA,NA
54391303,164.323,127,4272606,113.205,8388397,123.566,3493126,57.774,1498953,29.237,NA,NA
55394240,167.353,128,4319172,114.439,8522679,125.544,3520377,58.225,1503712,29.33,NA,NA
56266607,169.988,129,4367208,115.712,8663993,127.626,3545826,58.646,1508204,29.417,NA,NA
57183988,172.76,130,4404038,116.688,8798036,129.6,3568887,59.027,1517260,29.594,NA,NA
57812429,174.659,131,4447810,117.847,8904608,131.17,3582893,59.259,1527981,29.803,NA,NA
58527856,176.82,132,4505218,119.368,8986873,132.382,3607115,59.659,1537197,29.983,NA,NA
59378246,179.389,133,4541747,120.336,9117483,134.306,3635507,60.129,1545466,30.144,NA,NA
60200361,181.873,134,4581083,121.378,9260989,136.42,3663596,60.594,1553552,30.302,NA,NA
61155938,184.76,135,4635105,122.81,9415384,138.694,3692257,61.068,1558478,30.398,NA,NA
62092416,187.589,136,4685663,124.149,9562383,140.859,3719826,61.524,1562356,30.474,NA,NA
62840958,189.85,137,4741146,125.619,9693382,142.789,3740447,61.865,1571056,30.643,NA,NA
63414794,191.584,138,4778360,126.605,9818696,144.635,3754568,62.098,1579697,30.812,NA,NA
64088058,193.618,139,4840043,128.24,9941987,146.451,3778483,62.494,1588456,30.983,NA,NA
64844281,195.903,140,4880172,129.303,10083427,148.535,3807771,62.978,1596584,31.141,NA,NA
65694845,198.472,141,4925446,130.503,10236970,150.796,3840789,63.524,1604409,31.294,NA,NA
66564739,201.1,142,4974215,131.795,10400408,153.204,3869759,64.003,1607847,31.361,NA,NA
67448260,203.77,143,5034059,133.38,10556548,155.504,3897818,64.467,1611907,31.44,NA,NA
68258247,206.217,144,5076734,134.511,10703374,157.667,3922995,64.884,1620355,31.605,NA,NA
68963936,208.349,145,5115490,135.538,10857124,159.932,3942369,65.204,1629277,31.779,NA,NA
69730376,210.664,146,5169166,136.96,10993551,161.941,3967710,65.623,1637100,31.931,NA,NA
70659011,213.47,147,5205010,137.91,11141214,164.117,3998585,66.134,1644952,32.085,NA,NA
71583216,216.262,148,5246265,139.003,11310805,166.615,4031981,66.686,1653678,32.255,NA,NA
72603691,219.345,149,5293936,140.266,11471425,168.981,4061667,67.177,1659782,32.374,NA,NA
73547941,222.197,150,5355264,141.891,11639184,171.452,4093572,67.705,1665506,32.486,NA,NA
74367475,224.673,151,5440371,144.146,11814098,174.028,4118068,68.11,1671823,32.609,NA,NA
