"can1","can2","index","on1","on2","qc1","qc2","ab1","ab2","bc1","bc2","ns1","ns2"
5446459,144.894,150,2852346,195.815,1101190,129.781,1130828,258.693,386121,76.138,101198,104.178
5496533,146.226,151,2884169,197.999,1108187,130.606,1143818,261.664,386121,76.138,101634,104.627
5538269,147.336,152,2916275,200.204,1114354,131.333,1156369,264.536,404714,79.804,102167,105.176
5584587,148.569,153,2941245,201.918,1123174,132.372,1169378,267.512,408306,80.513,102402,105.417
5637606,149.979,154,2966343,203.641,1132113,133.426,1180696,270.101,414020,81.639,102842,105.87
5703550,151.733,155,2989888,205.257,1141870,134.576,1193164,272.953,420556,82.928,103365,106.409
5761197,153.267,156,3013892,206.905,1152442,135.822,1202912,275.183,420556,82.928,104010,107.073
5808594,154.528,157,3040190,208.71,1162798,137.042,1215672,278.102,420556,82.928,104683,107.766
5868816,156.13,158,3068781,210.673,1170858,137.992,1229939,281.366,437681,86.305,105487,108.593
5914525,157.346,159,3097453,212.642,1179250,138.981,1242263,284.185,441279,87.014,105927,109.046
5964797,158.684,160,3126408,214.629,1188308,140.049,1255039,287.108,447721,88.285,106286,109.416
6019931,160.15,161,3126408,214.629,1200628,141.501,1269261,290.361,455395,89.798,106748,109.891
6079157,161.726,162,3171062,217.695,1219471,143.721,1285604,294.1,461144,90.931,107310,110.47
6134277,163.192,163,3188667,218.903,1234892,145.539,1301969,297.844,461144,90.931,108062,111.244
6189110,164.651,164,3213336,220.597,1248937,147.194,1320550,302.094,461144,90.931,108719,111.92
6212318,165.268,165,3245837,222.828,1261288,148.65,1336742,305.799,479574,94.566,109387,112.608
6301822,167.65,166,3281455,225.273,1275041,150.271,1350800,309.014,483979,95.434,109790,113.023
6345179,168.803,167,3312598,227.411,1292966,152.383,1365496,312.376,490377,96.696,110133,113.376
6400926,170.286,168,3342138,229.439,1309460,154.327,1378898,315.442,497982,98.195,110564,113.82
6474920,172.255,169,3369802,231.338,1326132,156.292,1391578,318.343,506520,99.879,111181,114.455
6542816,174.061,170,3398563,233.313,1344315,158.435,1409023,322.334,506520,99.879,111825,115.118
6610853,175.871,171,3433697,235.725,1361899,160.507,1424946,325.976,506520,99.879,112499,115.812
6687904,177.921,172,3469523,238.184,1376247,162.198,1442603,330.016,528207,104.155,113020,116.348
6751962,179.625,173,3508463,240.858,1392424,164.105,1456219,333.131,534461,105.389,113450,116.791
6821403,181.472,174,3548590,243.612,1407194,165.846,1472658,336.891,544271,107.323,113863,117.216
6897957,183.509,175,3580343,245.792,1425245,167.973,1498064,342.703,555170,109.472,114316,117.682
6972315,185.487,176,3614544,248.14,1442772,170.039,1514285,346.414,567034,111.812,115155,118.546
7047316,187.482,177,3649980,250.573,1460959,172.182,1528159,349.588,567034,111.812,115726,119.134
7119583,189.405,178,3680614,252.676,1477797,174.167,1544816,353.398,567034,111.812,115726,119.134
7201711,191.59,179,3722479,255.55,1492789,175.933,1556275,356.02,600443,118.399,117425,120.883
7277186,193.597,180,3765717,258.518,1508322,177.764,1571176,359.429,608645,120.017,117998,121.473
7352716,195.607,181,3808226,261.436,1524727,179.698,1583918,362.344,615417,121.352,118752,122.249
7426822,197.578,182,3849337,264.259,1540680,181.578,1598145,365.598,627578,123.75,119449,122.966
7514467,199.91,183,3887712,266.893,1556720,183.468,1614217,369.275,638915,125.986,120270,123.812
7598532,202.146,184,3923465,269.348,1573445,185.439,1626773,372.147,638915,125.986,120933,124.494
7680795,204.335,185,3963111,272.069,1589532,187.335,1640351,375.253,638915,125.986,121927,125.517
7783423,207.065,186,4003204,274.822,1604262,189.071,1653361,378.23,638915,125.986,NA,NA
7866598,209.278,187,4049458,277.997,1616838,190.553,1668277,381.642,678085,133.709,NA,NA
7947999,211.443,188,4089119,280.72,1629846,192.086,1682603,384.919,683531,134.783,NA,NA
8035406,213.769,189,4127315,283.342,1646826,194.088,1697849,388.407,692547,136.561,NA,NA
8121913,216.07,190,4169346,286.227,1661851,195.858,1714270,392.163,703402,138.702,NA,NA
8203924,218.252,191,4212623,289.198,1677747,197.732,1731376,396.077,703402,138.702,NA,NA
8281748,220.322,192,4261111,292.527,1691452,199.347,1744042,398.974,703402,138.702,NA,NA
8389703,223.194,193,4306025,295.611,1702243,200.619,1753379,401.11,731319,144.206,NA,NA
8473544,225.425,194,4350323,298.652,1712824,201.866,1764020,403.544,736637,145.255,NA,NA
8556034,227.619,195,4394461,301.682,1724288,203.217,1776206,406.332,747119,147.322,NA,NA
8655958,230.277,196,4394461,301.682,1736616,204.67,1789173,409.298,757517,149.372,NA,NA
8759735,233.038,197,4462167,306.33,1749283,206.163,1802408,412.326,764099,150.67,NA,NA
8840729,235.193,198,4494373,308.541,1762039,207.666,1815588,415.341,764099,150.67,NA,NA
8919309,237.283,199,4534334,311.284,1773248,208.987,1826875,417.923,764099,150.67,NA,NA
8952049,238.154,200,4572841,313.928,1782527,210.081,1835293,419.849,792224,156.216,NA,NA
9091512,241.865,201,4617563,316.998,1791271,211.111,1842754,421.556,797381,157.233,NA,NA
9160824,243.709,202,4658413,319.802,1802240,212.404,1842754,421.556,806953,159.12,NA,NA
9240657,245.832,203,4690277,321.99,1814069,213.798,1869192,427.604,817076,161.117,NA,NA
9323107,248.026,204,4714326,323.641,1826029,215.208,1869192,427.604,827496,163.171,NA,NA
9402978,250.151,205,4746972,325.882,1835921,216.373,1869192,427.604,827496,163.171,NA,NA
9473820,252.035,206,4785832,328.55,1846594,217.631,1869192,427.604,827496,163.171,NA,NA
9561157,254.359,207,4825851,331.297,1856752,218.828,1869192,427.604,852267,168.056,NA,NA
9620242,255.931,208,4870002,334.328,1865395,219.847,1869192,427.604,857115,169.012,NA,NA
9694550,257.907,209,4908771,336.989,1875899,221.085,1869192,427.604,864963,170.559,NA,NA
9775913,260.072,210,4937423,338.956,1885867,222.26,1869192,427.604,877987,173.127,NA,NA
9855744,262.196,211,4961368,340.6,1897168,223.592,NA,NA,888593,175.219,NA,NA
9929693,264.163,212,4991378,342.66,1906939,224.743,NA,NA,888593,175.219,NA,NA
10003808,266.135,213,5026999,345.106,1914757,225.665,NA,NA,888593,175.219,NA,NA
10089386,268.411,214,5068007,347.921,1925195,226.895,NA,NA,916803,180.781,NA,NA
10145210,269.896,215,5109927,350.799,1925195,226.895,NA,NA,922626,181.93,NA,NA
10212881,271.697,216,5147060,353.348,1923098,226.648,NA,NA,922626,181.93,NA,NA
10287145,273.672,217,5174968,355.264,1933553,227.88,NA,NA,945759,186.491,NA,NA
10367916,275.821,218,5200247,356.999,1943833,229.091,NA,NA,955239,188.36,NA,NA
10438684,277.704,219,5228814,358.96,1954317,230.327,NA,NA,NA,NA,NA,NA
10503558,279.43,220,5264568,361.415,1965445,231.639,NA,NA,NA,NA,NA,NA
10583433,281.555,221,5305836,364.248,1974619,232.72,NA,NA,NA,NA,NA,NA
10629594,282.783,222,5345001,366.937,1984712,233.909,NA,NA,NA,NA,NA,NA
10677567,284.059,223,5382578,369.516,1993511,234.946,NA,NA,NA,NA,NA,NA
10744465,285.839,224,5410979,371.466,2004485,236.24,NA,NA,NA,NA,NA,NA
10836973,288.3,225,5440104,373.466,2015998,237.597,NA,NA,NA,NA,NA,NA
10896532,289.884,226,5476811,375.986,NA,NA,NA,NA,NA,NA,NA,NA
10953776,291.407,227,5516370,378.701,NA,NA,NA,NA,NA,NA,NA,NA
11025933,293.327,228,5556879,381.482,NA,NA,NA,NA,NA,NA,NA,NA
11077975,294.711,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11131911,296.146,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11212969,298.302,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11280890,300.109,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
